525714904543	5257149045432792519079400711150478537803
68731237101802297753011906842804	6873123710180229775301190684280440780938
663353633190041343328443476300679820237	6633536331900413433284434763006798202371
diaphan	diaphanous
863817495942848920135200909510078	8638174959428489201352009095100786494186
5071817736417497632544367735036325800040	5071817736417497632544367735036325800040
150590080695254061062853640829327	1505900806952540610628536408293276621931
spontaneous	spontaneous
naturalized	naturalized
79134654	7913465443931965254154829494577875758599
909135440785	9091354407852685476254126683398240534022
160909671920072376	1609096719200723765889422618655048755261
597286659451136441370331393672	5972866594511364413703313936721185695539
196992760371947601912866743	1969927603719476019128667430861521724304
pico	pico
pick	picking
0500360758832724886787932409338007186415	0500360758832724886787932409338007186415
57474836284616809363650973790900204118	5747483628461680936365097379090020411852
3631	3631358538902366255728542451601808048716
665398949134	6653989491344225517746402732596722993581
53190017642722275	5319001764272227510394460996414393226725
copyist	copyist
9884854560549613002157761152558133961	9884854560549613002157761152558133961840
4980	4980318169828654166132873909074116734612
picc	piccaninny
lonelines	loneliness
disaste	disasters
1000660041544868437352208	1000660041544868437352208483059495953182
inexhaust	inexhaustible
cdr	cdroms
1	1st
56335017074857902724870137	5633501707485790272487013702642032839657
963783841538380511844060	9637838415383805118440604369687166641651
5	5th
4747824066992827714006903	4747824066992827714006903166070995147315
incitem	incitement
tunn	tunnels
78248873502925916682589445	7824887350292591668258944568946559926584
525406369128501059991242127050	5254063691285010599912421270508133194975
0703403240133480638851409576955	0703403240133480638851409576955714719036
9	9th
48117829834941721167	4811782983494172116749194256016086853324
fagot	fagots
descripti	descriptively
6690773118001211882997373	6690773118001211882997373198910060609668
88912686792812391148	8891268679281239114888003672072973080135
goin	going
6244371655327502287978	6244371655327502287978025986909811112265
flit	flitted
545196756559	5451967565591819686908852834348860508285
glade	glades
turf	turf
3016795136710475104696690012	3016795136710475104696690012177771280655
51155212468893587328987833626781	5115521246889358732898783362678193617640
4991	4991111208706392028924906984353331527279
turb	turbulence
roll	rolls
turn	turns
peripher	periphery
355806178566807584910801	3558061785668075849108018580569556799018
ces	cessing
malison	malison
redoubl	redoubled
roko	rokoff
coolish	coolish
26251509748279877799643	2625150974827987779964373089970388867782
impleme	implements
848148810833946900016	8481488108339469000163807910759607455046
edwar	edward
789456	7894560706151210826614609866204042501058
companionless	companionless
stiffening	stiffening
postings	postings
18436597143	1843659714358334875602740540016557117830
238129903260	2381299032601981605719711839506627582203
4988	4988616570948466657706745770002071443325
staircase	staircase
unqualifie	unqualified
5987931636889230098793127	5987931636889230098793127736178215424999
barricade	barricade
a	aye
68077511126663685479944460	6807751112666368547994446093480999295187
e	eyewitness
3671	3671800538456378551291718484178415947974
histo	history
6733670106150942434569844018733	6733670106150942434569844018733128101079
i	ix
7588043679185454783641	7588043679185454783641677315182145722650
chivalr	chivalry
neighbou	neighbours
994666652	9946666520375302719237642525529103479503
weeping	weeping
majesti	majestic
9227643289360	9227643289360535947903046811114130586348
m	myths
76836986477	7683698647741787180202729412982310888796
cft	cft77
q	quoth
creepers	creepers
u	uziri
y	yuther
4995	4995886234281899707733276171783928034946
574748	5747483628461680936365097379090020411852
3664	3664528978019175132987747952929099598069
37939907521660692380533698	3793990752166069238053369887956513728559
outstandin	outstanding
gladi	gladiator
blustering	blustering
explanatio	explanations
4985657055608784211964039972344	4985657055608784211964039972344556458607
3682	3682664135541448048997721373174119199970
5476269452878051	5476269452878051650172067478541788798227
48090031629419758761959419	4809003162941975876195941956592556732874
542757064194408833816841111166200759787	5427570641944088338168411111662007597872
good	goodwin21
0172939073	0172939073033508690209225191244473932783
2259244561520	2259244561520365608268890193913957991844
empty	emptying
464274	4642744601747381752963134587393904845604
romu	romulus
grizzled	grizzled
skeleton	skeleton
pigs	pigs
080649882918454395301529982092503	0806498829184543953015299820925030054982
2344	2344049394502115428867244188717409524554
ordai	ordained
copying	copying
disperse	dispersed
11249826143455940896181350	1124982614345594089618135092268576114746
187848691087672991056559515515	1878486910876729910565595155159739659034
rome	rome
delivering	delivering
8638174959428489201352009095100786	8638174959428489201352009095100786494186
7cer	7cerfnet
roma	romanticized
85547116852481055999157444	8554711685248105599915744415515074312144
23837573804282007358586938044331529253	2383757380428200735858693804433152925312
0865536474517565	0865536474517565487931892564408527448919
9639844137178140276412208764498	9639844137178140276412208764498968862979
eigh	eighty
366728087241429	3667280872414291108080291896093127526202
chr	chronometers
0261564643215956091085109244516245	0261564643215956091085109244516245442014
3717465670504744152802771	3717465670504744152802771254156940136586
00024079158926460284	0002407915892646028490894922299966167437
856520840397442173527448137	8565208403974421735274481374121527747520
tusk	tusks
2359	2359408551626016894251114584996583155896
629337591517839234	6293375915178392341303110543328703526599
757247093699959574966967627	7572470936999595749669676277240766303535
8264951943804240543255345	8264951943804240543255345965248373785310
3686	3686120162437365698467037858533052758333
7857147002108731	7857147002108731469325455792313475724364
687314252252	6873142522526017958897591162387208075805
7615755549162366017628802206010686	7615755549162366017628802206010686555241
cic	cicnet
cig	cigars
reintro	reintroduced
festi	festivities
unvei	unveiled
4648523633247591026705624663	4648523633247591026705624663508025530581
7975129633326675259272351	7975129633326675259272351611791836777128
feste	festering
clinging	clinging
festa	festal
cis	cistern
remed	remedying
avala	avalanche
1039	1039655873354980385099514346350617536148
roos	roosting
5743384575863883473	5743384575863883473583224253532814204782
ingolsta	ingolstadt
007594	0075945462815492355060864815579289619696
8818865149169302451512835579818112	8818865149169302451512835579818112344900
094862	0948624826169448020179174822308583500786
467651456689976	4676514566899762798960629592511976367290
1046	1046554389165150954187306071015034430609
518439253967092241256593307910236	5184392539670922412565933079102365485294
337730158153633414	3377301581536334149093237034703637513354
empti	emptied
350394353	3503943531836741051762565704797064478004
745082560728951209454	7450825607289512094545656215954040542581
umslv	umslvma
753177499737992930432943717	7531774997379929304329437176380185628006
expos	exposures
438768997870232343858438	4387689978702323438584381125011714013265
72059	7205935530520700706072233999463990571311
84667138075463834716354288	8466713807546383471635428854957610942841
331681162551898060409183018907512	3316811625518980604091830189075121701929
36569532074170533486782754827815	3656953207417053348678275482781541556196
pill	pills
gosh	gosh
1060	1060
2391	2391518893099463428413936080383091662818
73382	7338237767914829203283196838105907715727
0662586	0662586171172949803824887998650406156397
7264111201352885913178482994	7264111201352885913178482994756824725648
84049	8404956639919591540342183645372120236786
variabl	variable
2388	2388440716789478041470141465107358045202
862629	8626290036145602625334863284986816039463
flor	florist
443019579379378607210	4430195793793786072107254277289071732854
8424245405129246729039791532535999005557	8424245405129246729039791532535999005557
6395173941101311525	6395173941101311525027504657493430637665
2044102134790	2044102134790034598411927024921557026873
62932239295612	6293223929561261004588464424428501155155
20832348471084717	2083234847108471706160879195227388252347
gorg	gorging
37507984051126658973018149	3750798405112665897301814932106195076900
commonplac	commonplaces
remit	remit
674653702874660625843463297083037	6746537028746606258434632970830372598049
cmc	cmc
12442	1244284176256230139538669970308943645907
hectoring	hectoring
honestl	honestly
administrato	administrators
084655898982349219315205257478363855266	0846558989823492193152052574783638552662
24973756940558138630581	2497375694055813863058109982337256516492
rott	rotting
51627560708090043646	5162756070809004364604214970256914885552
_religi	_religious_
pinn	pinned
877946713121042763380872695738609	8779467131210427633808726957386093146315
86586516846456996481001563374125509847	8658651684645699648100156337412550984797
37717	3771705474725026941732982890400239372879
mydir	mydir
109288677892027007750	1092886778920270077504951511405782565295
875513802	8755138027101379868751299375133303843885
ordea	ordeal
153727	1537278435539862440158564886921016447816
850675	8506759050366239172210873233316990960336
abductio	abduction
31057993169	3105799316979179167182711458374352220263
coa	coaxing
gosp	gospel
additiona	additional
mathematic	mathematics
5232573	5232573171665625274275808460620177046433
86029406	8602940662803255416535431518013714821941
coe	coercive
sailclo	sailcloth
901665867067714568862793343153513505	9016658670677145688627933431535135056882
coi	coins
1879339076142074670288679685949854397	1879339076142074670288679685949854397894
com	comradeship
180890184731175	1808901847311751199425460594416773315777
4826375270813531055	4826375270813531055708180496424985846461
coq	coquetry
cou	coutts
343379789315820394128789897289732988125	3433797893158203941287898972897329881255
remor	remorselessly
019644296537064308	0196442965370643088660925268811549596291
501777	5017772538740256425347087908913729172282
admon	admonitions
39375771859916335112163	3937577185991633511216344103791045184501
remon	remonstrate
