512473	5124735546139403154952097397051896240157
17681559226	1768155922620169913966131537380212941600
898345058	8983450586004316822658631176606237201721
illumin	illuminating
3081751126989851	3081751126989851884087185640260353055837
4970	4970660925048187683551600371463868591891
380775231896468940	3807752318964689404303318214865563701469
701504495496412454361656210150919997862	7015044954964124543616562101509199978629
4975654930790973385418	4975654930790973385418558351578940981400
48263752708	4826375270813531055708180496424985846461
61069804646973942451179799904875495142	6106980464697394245117979990487549514220
21607494696	2160749469654989210474443927871934536701
101212443	1012124434092813146597602213604162230311
097690456341576573395549	0976904563415765733955495884489480936040
2305	2305860332060641949298931012423081105800
666674827426925968686433731916548717750	6666748274269259686864337319165487177501
9583994708095	9583994708095478886350328112962689923111
367208459316439494188	3672084593164394941881138607974670134709
72957035	7295703519238768640554427813416980724938
coali	coalition
358438405767329826816344864670743999091	3584384057673298268163448646707439990917
873252737389039289050686532413806279602	8732527373890392890506865324138062796025
combustibl	combustibles
10465543891651509541873060710150	1046554389165150954187306071015034430609
longsid	longside
pict	picturesque
790415	7904159804399212488984866079504501170116
disastr	disastrous
752156	7521566857195063719365653903894493664217
fraternizi	fraternizing
8398144845855803277997327	8398144845855803277997327929143195789110
292159864049332464810407730766116	2921598640493324648104077307661169160558
4981	4981270527139840772099570723622700924506
1321913606	1321913606812965756858361177456465467486
53227002311336803784333773897	5322700231133680378433377389724881307874
21865459971596639015641941751820935932	2186545997159663901564194175182093593261
31651406622917122342937580614	3165140662291712234293758061439934849143
28429103817272	2842910381727212131386815655244281098711
cdo	cdouglas
2316	2316616152445059805767457653355523387156
2	2nd
remai	remains
6	6999587592181529761248240911695158778996
06027341997	0602734199775666002942794109040006465428
53717449	5371744909037699041455552602491901263414
1120187618531256710150212239	1120187618531256710150212239401285668608
feverishl	feverishly
002908668305431787009	0029086683054317870093550669443891319133
1173317807	1173317807741497557116733034632008408954
slatternly	slatternly
8843908788792621882023055299371	8843908788792621882023055299371323971943
abductor	abductor
botanis	botanist
role	roles
406092824301254620138	4060928243012546201380603260812194287684
2330	2330254086076115859321603465240763923593
975771508108494435082854587499	9757715081084944350828545874991294385756
cel	cellular
turk	turks
6306699896	6306699896632888532682145204083110738032
cep	cephisus
2327	2327269503283827391243828198170871168108
2646591320356012187593379163966	2646591320356012187593379163966643728283
pier	piercing
flie	flies
cet	cetology
selfish	selfishness
30817511269898518	3081751126989851884087185640260353055837
2323	2323746733771474581625530698032499033676
70472638440379530166905465	7047263844037953016690546593746161932384
5747483628	5747483628461680936365097379090020411852
927825714524	9278257145248837213394613987859786320048
5772348420077356021656909077097264985642	5772348420077356021656909077097264985642
4985	4985657055608784211964039972344556458607
flim	flimsy
256043696061101938427238831075	2560436960611019384272388310758777165359
14321400450	1432140045051394142899835057603879934335
glaci	glaciers
4989	4989467873509295816526320722589923687684
cfa	cfarmer
63347383890177597142362230577	6334738389017759714236223057776395541011
083714720	0837147204067428996276720315410211504333
b	byword
241536214303	2415362143031999656956107535704172072853
12395782602489783714735568	1239578260248978371473556820782675452142
8271686445483065466339	8271686445483065466339752560796159358308
2358836597295	2358836597295515990518741177928860876023
f	futurity
3672	3672084593164394941881138607974670134709
1010	1010
2341	2341169501745502360505475824093175657701
j	jutting
125161760789984630103493496981494261	1251617607899846301034934969814942610553
neighbor	neighbors
n	nysernet
018276	0182766336227978104546331131294044833570
687314252252601795889759116238720807	6873142522526017958897591162387208075805
2338	2338334530105533929637308039738230604714
r	ryer
078313428	0783134286180750497175747373730296280477
8522218307	8522218307553061183933269341644594153426
78991286820	7899128682070544897997731969557437452970
2675424975710520894362639501	2675424975710520894362639501382962152214
04459626327934637721151028545472312	0445962632793463772115102854547231288003
76152048829	7615204882969091046891676715553733466225
v	vultures
gladn	gladness
675232839168886537375133579	6752328391688865373751335794859860107569
z	zooming
waggoner	waggoner
7115203251155282	7115203251155282371614692006347135703833
47940490926017	4794049092601715727439368569721862936007
02761669582789	0276166958278982913613535306291331427881
945762177503451177011045800129125	9457621775034511770110458001291255925462
614037537859594	6140375378595945063632270951224892419318
keywords	keywords
479076153210387275571269925182756	4790761532103872755712699251827568798930
5122105	5122105105209083470744398613782908235277
92714563549061303107208510383750	9271456354906130310720851038375051011574
3683	3683080426309910481567503623509654924302
taver	tavernier
ronc	roncesvalles
3416534893	3416534893431149175314953530067419744979
17091476074371368933194690	1709147607437136893319469090981904501290
mssta	msstate
665453524	6654535240882872675377591970745262863228
gooe	gooey
790455	7904552004961858377772104804663553380661
69319626	6931962642014042788365702610390456105151
45543030	4554303052745615129612145859444321507490
0404868220007234403502544820283	0404868220007234403502544820283425418788
302668422150335	3026684221503351177364718538723240404210
